10  10  5
2e+03  2.1e+03  2.2e+03  2.2e+03  2.2e+03  2.3e+03  2.4e+03  2.4e+03  2.4e+03  2.5e+03  
0.045  0.046  0.046  0.047  0.048  0.048  0.049  0.049  0.05  0.05  
0.5  1  2  3  10  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
1  1  1  1  1  1  1  1  1  1  
